Alias,Token,Speech
1_left,corner_1_left,one left
1_right,corner_1_right,one right
2_left,corner_2_left,two left|to left
2_right,corner_2_right,two right|to right
3_left,corner_3_left,three left
3_right,corner_3_right,three right
4_left,corner_4_left,four left|for left
4_right,corner_4_right,four right|for right
5_left,corner_5_left,five left
5_right,corner_5_right,five right
6_left,corner_6_left,six left
6_right,corner_6_right,six right
flat_left,corner_flat_left,flat left
flat_right,corner_flat_right,flat right
frozen,detail_triple_caution,frozen
hairpin_left,corner_left_acute,hairpin left
hairpin_right,corner_right_acute,hairpin right
ice,detail_triple_caution,ice
left_acute,corner_left_acute,left acute
open_hairpin_left,corner_open_hairpin_left,open hairpin left
open_hairpin_right,corner_open_hairpin_right,open hairpin right
right_acute,corner_right_acute,right acute
square_left,corner_square_left,square left
square_right,corner_square_right,square right
and,detail_and,and
around_bales,detail_around_bales,around bales
around_bridge,detail_around_bridge,around bridge
bad_camber,detail_bad_camber,bad camber
bales,detail_bales,bales
big_crest,detail_big_crest,big crest|big crests
big_cut,detail_big_cut,big cut
big_jump,detail_big_jump,big jump|big jumps
brake,detail_brake,brake
bridge,detail_bridge,bridge
bumps,detail_bumps,bumps|bump
care,detail_care,care
caution,detail_caution,caution
cobble,detail_cobble,cobble|cobbles
concrete,detail_concrete,concrete
continues,detail_continues,continues
crest,detail_crest,crest|crests
cut,detail_cut,cut
deceptive,detail_deceptive,deceptive
deepruts,detail_deepruts,deep ruts
ditches_inside,detail_ditches_inside,ditches inside
ditches_outside,detail_ditches_outside,ditches outside
dip,detail_dip,dip|dips
dont_cut,detail_dont_cut,don't cut|dont cut|do not cut
downhill,detail_downhill,down hill|downhill
early,detail_early,early
end_stage,detail_end_stage,end stage
extraextra_long,detail_extraextra_long,extra extra long
extra_long,detail_extra_long,very long|extra long
fence_outside,detail_fence_outside,fence outside|fences outside
finish,detail_deepruts,finish|over finish
ford,detail_ford,ford
flat,detail_flat,flat
go_straight,detail_go_straight,go straight|keep straight
gravel,detail_gravel,gravel
grid,detail_grid,grid
into,detail_into,into|to
jump,detail_jump,jump|jumps
jump_maybe,detail_jump_maybe,jump maybe|jumps maybe
junction,detail_junction,junction
keep_in,detail_keep_in,keep in
keep_left,detail_keep_left,keep left
keep_middle,detail_keep_middle,keep middle|middle
keep_out,detail_keep_out,keep out
keep_right,detail_keep_right,keep right
kinks,detail_kinks,kinks
late,detail_late,late
left_entry_chicane,detail_left_entry_chicane,chicane left entry
logs_inside,detail_logs_inside,logs inside
logs_outside,detail_logs_outside,logs outside
long,detail_long,long
long_crest,detail_long_crest,long crest
longlong,detail_longlong,very long
loose_gravel,detail_loose_gravel,loose gravel
maybe,detail_maybe,maybe
narrows,detail_narrows,narrows|narrow
opens,detail_opens,opens
outtrack,detail_outtrack,out track
over_big_crest,detail_over_big_crest,over big crest
over_big_jump,detail_over_big_jump,over big jump
over_bridge,detail_over_bridge,over bridge|pass bridge|across bridge|through bridge
over_bumps,detail_over_bumps,over bumps|over bump
over_crest,detail_over_crest,over crest|over crests
over_dip,detail_over_dip,over dip|over dips
over_jump,detail_over_jump,over jump|over jumps
over_narrow_bridge,detail_over_narrow_bridge,over narrow bridge
over_small_crest,detail_over_small_crest,over small crest
pass_junction,detail_pass_junction,pass junction|through junction|over junction
right_entry_chicane,detail_right_entry_chicane,chicane right entry
rocks_inside,detail_rocks_inside,rocks inside|rock inside
rocks_outside,detail_rocks_outside,rocks outside|rock outside
rough,detail_rough,rough
short,detail_short,short
slippery,detail_slippery,slippery
slow,detail_slow,slow
small_crest,detail_small_crest,small crest|small crests
small_cut,detail_small_cut,small cut
snow,detail_snow,snow
start_stage,detail_start_stage,start stage
sudden,detail_sudden,sudden|immediate
tarmac,detail_tarmac,tarmac
then,detail_then,then
through_gate,detail_through_gate,through gate|pass gate
through_grid,detail_through_grid,through grid|pass grid
through_narrow_gate,detail_through_narrow_gate,through narrow gate|pass narrow gate
through_narrow_grid,detail_through_narrow_grid,through narrow grid|pass narrow grid
tightens,detail_tightens,tightens
tightens_to_1,detail_tightens_to_1,tightens one
tightens_to_2,detail_tightens_to_2,tightens two
tightens_to_3,detail_tightens_to_3,tightens three
tightens_to_4,detail_tightens_to_4,tightens four
tightens_to_5,detail_tightens_to_5,tightens five
opens_to_2,detail_opens_to_2,opens two
opens_to_3,detail_opens_to_3,opens three
opens_to_4,detail_opens_to_4,opens four
opens_to_5,detail_opens_to_5,opens five
opens_to_6,detail_opens_to_6,opens six
opens_to_flat,detail_opens_to_flat,opens flat
tightens_to_acute,detail_tightens_to_acute,tightens acute|tightens hairpin
tree_inside,detail_tree_inside,tree inside|trees inside
tree_outside,detail_tree_outside,tree outside|trees outside
triple_caution,detail_triple_caution,triple caution
tunnel,detail_tunnel,tunnel|through tunnel|pass tunnel
turn,detail_turn,turn
unseen,detail_unseen,unseen
uphill,detail_uphill,up hill|uphill
very_long,detail_longlong,very long
water_splash,detail_water_splash,water splash
widens,detail_widens,widens
20,number_20,twenty|over twenty
30,number_30,thirty|over thirty
40,number_40,forty|over forty
50,number_50,fifty|over fifty
60,number_60,sixty|over sixty
70,number_70,seventy|over seventy
80,number_80,eighty|over eighty
90,number_90,ninety|over ninety
100,number_100,one hundred
110,number_110,one hundred and ten
120,number_120,one hundred and twenty|one twenty
130,number_130,one hundred and thirty|one thirty
140,number_140,one hundred and forty|one forty
150,number_150,one hundred and fifty|one fifty
160,number_160,one hundred and sixty|one sixty
170,number_170,one hundred and seventy|one seventy
180,number_180,one hundred and eighty|one eighty
190,number_190,one hundred and ninety|one ninety
200,number_200,two hundred
210,number_210,two hundred and ten
220,number_220,two hundred and twenty|two twenty
230,number_230,two hundred and thirty|two thirty
240,number_240,two hundred and forty|two forty
250,number_250,two hundred and fifty|two fifty
260,number_260,two hundred and sixty|two sixty
270,number_270,two hundred and seventy|two seventy
280,number_280,two hundred and eighty|two eighty
290,number_290,two hundred and ninety|two ninety
300,number_300,three hundred
350,number_350,three hundred and fifty|three fifty
400,number_400,four hundred
450,number_450,four hundred and fifty|four fifty
