Token,Fallback_Token
detail_around_bales,detail_bales
detail_around_bridge,detail_bridge
detail_between_bales,detail_bales
detail_big_crest,detail_crest
detail_big_cut,detail_cut
detail_big_jump,detail_jump
detail_ditches_inside,detail_dont_cut
detail_ditches_outside,detail_keep_in
detail_early,detail_care
detail_fence_outside,detail_keep_in
corner_flat_left,corner_6_left
corner_flat_right,corner_6_right
detail_jump_maybe,detail_jump
detail_grid,detail_gate
detail_kinks,detail_flat
detail_long_crest,detail_crest
detail_loose_gravel,detail_gravel
detail_over_big_crest,detail_over_crest
detail_over_big_jump,detail_over_jump
detail_over_bridge,detail_over>detail_bridge
detail_over_bumps,detail_over>detail_bumps
detail_over_crest,detail_over>detail_crest
detail_over_dip,detail_over>detail_dip
detail_over_jump,detail_over>detail_jump
detail_over_logs,detail_over>detail_logs
detail_over_small_crest,detail_over_crest
detail_over_grid,detail_over>detail_grid
detail_over_long_crest,detail_over_crest>detail_long
detail_over_narrow_bridge,detail_over_bridge>detail_narrows
detail_over_very_long_crest,detail_over_crest>detail_longlong
detail_pass_junction,detail_junction
detail_slow,detail_brake
detail_small_crest,detail_crest
detail_small_cut,detail_cut
detail_through_grid,detail_through>detail_through_gate
detail_through_logs,detail_through>detail_logs
detail_through_gate,detail_through>detail_gate
detail_through_houses,detail_through>detail_house
detail_through_narrow_gate,detail_through_gate>detail_narrows
detail_through_narrow_grid,detail_through_grid>detail_narrows
detail_through_tunnel,detail_through>detail_tunnel
detail_tightens_bad,detail_caution>detail_tightens
detail_unseen,detail_caution
detail_water_splash,detail_ford
number_20,number_30
number_90,number_100
number_110,number_100
number_130,number_140
number_170,number_160
number_190,number_200
number_210,number_200
number_220,number_200
number_230,number_250
number_240,number_250
number_260,number_250
number_270,number_250
number_280,number_250
number_290,number_300
