Id,Description,CanBeModifier,RBR_Pacenote_Id,RBR_Modifier_Id,RBR_Type
corner_1_left,左一,0,0,,corners
corner_1_right,右一,0,11,,corners
corner_2_left,左二,0,102,,corners
corner_2_right,右二,0,112,,corners
corner_3_left,左三,0,2,,corners
corner_3_right,右三,0,9,,corners
corner_4_left,左四,0,3,,corners
corner_4_right,右四,0,8,,corners
corner_5_left,左五,0,4,,corners
corner_5_right,右五,0,7,,corners
corner_6_left,左六,0,5,,corners
corner_6_right,右六,0,6,,corners
corner_flat_left,左七,0,26,,corners
corner_flat_right,右七,0,25,,corners
corner_left_acute,左回头弯/左发卡,0,2040,,corners
corner_open_hairpin_left,宽左回头弯/宽左发卡,0,127|40003,,corners
corner_open_hairpin_right,宽右回头弯/宽右发卡,0,126|40004,,corners
corner_right_acute,右回头弯/右发卡,0,2041,,corners
corner_square_left,左直角弯,0,1,,corners
corner_square_right,右直角弯,0,10,,corners
detail_and,接,0,4084,,links
detail_around_bales,绕过草垛,1,-1,,obstacles
detail_around_bridge,绕过桥,1,-1,,obstacles
detail_bad_camber,路面外倾,1,355,,road
detail_bales,草垛,1,397,,obstacles
detail_between_bales,通过草垛,1,-1,,obstacles
detail_big_crest,高坡,1,-1,,obstacles
detail_big_cut,大切弯,1,211|212,,additional|modifier
detail_big_jump,超大飞跳,1,40002,,obstacles
detail_brake,刹车,1,217,,driving
detail_bridge,桥,1,27,,obstacles
detail_bumps,颠簸,1,300,,obstacles
detail_care,小心,0,18,,cautions
detail_caution,注意,0,32,,cautions
detail_cobble,鹅卵石路面,1,323,,surface
detail_concrete,水泥路,1,322,,surface
detail_continues,持续,1,-1,,none
detail_crest,有坡,1,340,,obstacles
detail_cut,切弯,1,-1,64,additional|modifier
detail_deceptive,欺骗性的,1,-1,,none
detail_finish,到达终点,1,22,,links
detail_ditches_inside,内有深沟,1,350,,cautions
detail_ditches_outside,外侧深沟,1,-1,,cautions
detail_dip,低洼,1,361|2024,,cautions
detail_dont_cut,不要切弯,1,-1,32,additional|modifier
detail_downhill,下坡,1,261,,line
detail_early,提早入弯,1,234,,adjectives
detail_extraextra_long,超级长,1,-1,,additional
detail_extra_long,特别长,1,263,512,additional
detail_fence_outside,外侧篱笆,1,370,,construction
detail_ford,过水,1,17,,obstacles
detail_flat,全油,1,216,,driving
detail_go_straight,直走,1,28,,line
detail_gravel,砂石路,1,320,,surface
